x,y
18,9
19,9
20,9
21,9
22,9
23,9
24,9
23,9
24,9
25,9
26,9
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,7
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
27,8
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
27,8
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
25,9
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,7
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
27,7
27,8
26,8
27,8
26,8
27,8
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
27,8
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
26,9
26,8
27,8
26,8
26,9
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
25,8
25,7
26,7
26,8
27,8
26,8
27,8
26,8
26,9
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
27,7
26,7
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
26,7
26,8
26,7
26,8
26,7
26,8
25,8
25,7
26,7
26,8
26,9
26,8
25,8
25,7
26,7
26,8
26,9
26,8
26,7
26,8
26,7
26,8
26,7
26,8
27,8
26,8
27,8
26,8
27,8
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
26,7
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
26,8
27,8
