x,y
43,0
42,0
41,0
40,0
39,0
38,0
37,0
36,0
35,0
34,0
33,0
32,0
31,0
30,0
31,0
30,0
31,0
30,0
31,0
30,0
31,0
30,0
31,0
30,0
30,1
30,2
30,3
30,4
30,5
29,5
28,5
27,5
26,5
25,5
24,5
23,5
23,6
23,7
23,8
22,8
21,8
20,8
19,8
19,9
19,10
19,11
18,11
17,11
16,11
15,11
14,11
13,11
12,11
11,11
10,11
9,11
9,12
9,13
9,14
8,14
7,14
6,14
6,13
6,14
6,13
6,14
6,13
7,13
7,14
6,14
6,13
6,14
6,13
6,14
6,13
6,14
6,13
6,14
6,13
6,14
6,13
6,14
6,13
5,13
4,13
3,13
2,13
2,12
2,13
3,13
2,13
3,13
3,14
2,14
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
2,14
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
4,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
3,15
2,15
2,16
1,16
0,16
1,16
2,16
2,17
1,17
2,17
1,17
2,17
1,17
2,17
1,17
1,18
0,18
1,18
1,17
1,18
1,17
2,17
1,17
2,17
1,17
2,17
1,17
2,17
3,17
