episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio,loss
1,-105.15,4,1.0,0,50,0.1,0.05,0.0,4,0.0,0.08,0.0
2,-95.05,2,1.0,0,50,0.1,0.05,0.0,2,0.0,0.04,0.0
3,-90.60000000000001,13,1.0,0,50,0.1,0.05,0.0,13,0.0,0.26,0.0
4,-106.65,34,1.0,0,50,0.1,0.05,0.0,34,0.0,1.096774193548387,0.0
5,-100,1,1.0,0,50,0.1,0.05,0.0,1,0.0,0.02,0.0
6,-156.39999999999984,129,0.7864388409944025,0,50,0.1,0.05,0.0,129,0.06201550387596899,2.58,0.0
7,-181.45000000000002,130,0.6062270654277645,0,50,0.1,0.05,0.0,130,0.023076923076923078,4.193548387096774,0.0
8,-148.5499999999999,72,0.5248489038748029,0,50,0.1,0.05,0.0,72,0.041666666666666664,2.3225806451612905,0.0
9,-110.60000000000001,13,0.5113653903604884,0,50,0.1,0.05,0.0,13,0.0,0.203125,0.0
10,-51.50000000000001,31,0.4805937417701174,0,50,0.1,0.05,0.0,31,0.03225806451612903,1.0,0.0
11,-46.84999999999998,38,0.445388172652211,0,50,0.1,0.05,0.0,38,0.07894736842105263,0.59375,0.0
12,-99.4499999999999,90,0.3719524262497721,0,50,0.1,0.05,0.0,90,0.06666666666666667,1.8,0.0
13,-64.99999999999962,300,0.20400921379126033,0,50,0.1,0.05,0.0,301,0.03322259136212625,6.02,0.0
14,-13.049999999999585,162,0.14750185114233877,0,50,0.1,0.05,0.0,162,0.012345679012345678,5.0625,0.0
15,655.8999999999996,82,0.12517046231418963,1,50,0.1,0.05,0.06666666666666667,83,0.0,2.59375,4203.876953125
16,30.549999999999727,90,0.10453231587926269,0,50,0.1,0.05,0.0625,90,0.0,1.40625,0.0
17,45.000000000000675,300,0.0573340945596833,0,50,0.1,0.05,0.058823529411764705,301,0.006644518272425249,7.525,0.0
18,114.99999999999834,300,0.05,0,50,0.1,0.05,0.05555555555555555,301,0.009966777408637873,6.02,0.0
19,144.9999999999974,300,0.05,0,50,0.1,0.05,0.05263157894736842,301,0.0,7.525,0.0
20,-17.2499999999999,46,0.05,0,50,0.1,0.05,0.05,46,0.0,1.2777777777777777,3489.34228515625
21,706.1999999999973,276,0.05,1,50,0.1,0.05,0.09523809523809523,277,0.018050541516245487,4.328125,0.0
22,690.3999999999987,192,0.05,1,50,0.1,0.05,0.13636363636363635,193,0.031088082901554404,3.015625,0.0
23,725.9999999999995,80,0.05,1,50,0.1,0.05,0.17391304347826086,81,0.012345679012345678,1.62,0.0
24,224.99999999999696,300,0.05,0,50,0.1,0.05,0.16666666666666666,301,0.0,6.02,0.0
25,799.8499999999992,103,0.05,1,50,0.1,0.05,0.2,104,0.028846153846153848,1.4246575342465753,38.74021530151367
26,21.650000000000077,68,0.05,0,50,0.1,0.05,0.19230769230769232,68,0.0,0.9315068493150684,0.0
27,-20.99999999999997,21,0.05,0,50,0.1,0.05,0.18518518518518517,21,0.0,0.5833333333333334,0.0
28,-8.399999999999551,169,0.05,0,50,0.1,0.05,0.17857142857142858,169,0.0,4.225,0.0
29,75.00000000000082,300,0.05,0,50,0.1,0.05,0.1724137931034483,301,0.006644518272425249,9.709677419354838,0.0
30,627.4999999999998,250,0.05,1,50,0.1,0.05,0.2,251,0.01195219123505976,6.275,38.37489700317383
31,94.99999999999953,300,0.05,0,50,0.1,0.05,0.1935483870967742,301,0.0033222591362126247,9.40625,0.0
32,-10.199999999999449,205,0.05,0,50,0.1,0.05,0.1875,205,0.014634146341463415,4.880952380952381,0.0
33,29.750000000000114,106,0.05,0,50,0.1,0.05,0.18181818181818182,106,0.0,1.452054794520548,0.0
34,646.9500000000003,161,0.05,1,50,0.1,0.05,0.20588235294117646,162,0.0,5.225806451612903,0.0
35,-80.2,5,0.05,0,50,0.1,0.05,0.2,5,0.0,0.0684931506849315,3924.072265625
36,42.94999999999993,42,0.05,0,50,0.1,0.05,0.19444444444444445,42,0.0,1.3125,0.0
37,134.99999999999957,300,0.05,0,50,0.1,0.05,0.1891891891891892,301,0.0,7.525,0.0
38,-9.700000000000443,195,0.05,0,50,0.1,0.05,0.18421052631578946,195,0.0,4.875,0.0
39,741.3999999999985,172,0.05,1,50,0.1,0.05,0.20512820512820512,173,0.0,3.46,0.0
40,-77.4,149,0.05,0,50,0.1,0.05,0.2,149,0.006711409395973154,7.45,3995.3974609375
41,-9.250000000000611,286,0.05,0,50,0.1,0.05,0.1951219512195122,286,0.0034965034965034965,7.944444444444445,0.0
42,-7.849999999999866,58,0.05,0,50,0.1,0.05,0.19047619047619047,58,0.0,1.8709677419354838,0.0
43,36.299999999999926,75,0.05,0,50,0.1,0.05,0.18604651162790697,75,0.013333333333333334,1.7857142857142858,0.0
44,-66.99999999999972,141,0.05,0,50,0.1,0.05,0.18181818181818182,141,0.0,5.222222222222222,0.0
45,69.24999999999918,116,0.05,0,50,0.1,0.05,0.17777777777777778,116,0.0,2.9,3748.152587890625
46,134.99999999999895,300,0.05,0,50,0.1,0.05,0.17391304347826086,301,0.0,9.40625,0.0
47,105.0000000000008,300,0.05,0,50,0.1,0.05,0.1702127659574468,301,0.0033222591362126247,9.40625,0.0
48,65.00000000000082,300,0.05,0,50,0.1,0.05,0.16666666666666666,301,0.0,11.148148148148149,0.0
49,-15.399999999999736,109,0.05,0,50,0.1,0.05,0.16326530612244897,109,0.0,3.5161290322580645,0.0
50,746.2999999999996,74,0.05,1,50,0.1,0.05,0.18,75,0.0,1.5,50.713165283203125
51,658.1999999999999,36,0.05,1,50,0.1,0.05,0.19607843137254902,37,0.0,1.15625,0.0
52,815.1999999999992,96,0.05,1,50,0.1,0.05,0.21153846153846154,97,0.0,1.515625,0.0
53,-29.249999999999787,86,0.05,0,50,0.1,0.05,0.20754716981132076,86,0.0,2.388888888888889,0.0
54,45.94999999999868,182,0.05,0,50,0.1,0.05,0.2037037037037037,182,0.0,4.55,0.0
55,794.299999999999,114,0.05,1,50,0.1,0.05,0.21818181818181817,115,0.008695652173913044,1.796875,29.782142639160156
56,-4.599999999999838,93,0.05,0,50,0.1,0.05,0.21428571428571427,93,0.0,2.5833333333333335,0.0
57,-18.14999999999985,64,0.05,0,50,0.1,0.05,0.21052631578947367,64,0.0,2.064516129032258,0.0
58,20.549999999999926,90,0.05,0,50,0.1,0.05,0.20689655172413793,90,0.011111111111111112,2.142857142857143,0.0
59,-46.549999999999585,232,0.05,0,50,0.1,0.05,0.2033898305084746,232,0.0,11.6,0.0
60,-15.84999999999998,18,0.05,0,50,0.1,0.05,0.2,18,0.0,0.5806451612903226,28.45291519165039
61,94.99999999999957,300,0.05,0,50,0.1,0.05,0.19672131147540983,301,0.006644518272425249,7.166666666666667,0.0
62,629.0500000000001,119,0.05,1,50,0.1,0.05,0.20967741935483872,120,0.008333333333333333,3.870967741935484,0.0
63,-55.449999999999996,10,0.05,0,50,0.1,0.05,0.20634920634920634,10,0.0,0.136986301369863,0.0
64,622.2500000000002,255,0.05,1,50,0.1,0.05,0.21875,256,0.00390625,8.258064516129032,0.0
65,82.54999999999987,50,0.05,0,50,0.1,0.05,0.2153846153846154,50,0.0,1.25,3875.966064453125
66,814.9999999999993,100,0.05,1,50,0.1,0.05,0.22727272727272727,101,0.0,1.578125,0.0
67,734.649999999998,207,0.05,1,50,0.1,0.05,0.23880597014925373,208,0.0,4.244897959183674,0.0
68,-60.4,9,0.05,0,50,0.1,0.05,0.23529411764705882,9,0.0,0.21428571428571427,0.0
69,629.5500000000003,109,0.05,1,50,0.1,0.05,0.2463768115942029,110,0.0,4.074074074074074,0.0
70,125.00000000000075,300,0.05,0,50,0.1,0.05,0.24285714285714285,301,0.006644518272425249,4.123287671232877,42.900840759277344
71,52.14999999999998,58,0.05,0,50,0.1,0.05,0.23943661971830985,58,0.0,1.380952380952381,0.0
72,735.7499999999984,185,0.05,1,50,0.1,0.05,0.25,186,0.0,3.795918367346939,0.0
73,194.99999999999696,300,0.05,0,50,0.1,0.05,0.2465753424657534,301,0.0,6.142857142857143,0.0
74,55.84999999999829,184,0.05,0,50,0.1,0.05,0.24324324324324326,184,0.0,4.380952380952381,0.0
75,78.29999999999768,235,0.05,0,50,0.1,0.05,0.24,235,0.0,4.051724137931035,7485.048828125
76,75.00000000000044,300,0.05,0,50,0.1,0.05,0.23684210526315788,301,0.009966777408637873,9.40625,0.0
77,797.1499999999985,157,0.05,1,50,0.1,0.05,0.24675324675324675,158,0.006329113924050633,2.5901639344262297,0.0
78,739.8499999999999,103,0.05,1,50,0.1,0.05,0.2564102564102564,104,0.0,2.122448979591837,0.0
79,4.99999999999982,300,0.05,0,50,0.1,0.05,0.25316455696202533,301,0.0,15.05,0.0
80,652.25,55,0.05,1,50,0.1,0.05,0.2625,56,0.0,1.8064516129032258,3529.3837890625
81,656.8,64,0.05,1,50,0.1,0.05,0.2716049382716049,65,0.0,2.03125,0.0
82,617.6000000000006,248,0.05,1,50,0.1,0.05,0.2804878048780488,249,0.01606425702811245,5.928571428571429,0.0
83,741.4999999999984,170,0.05,1,50,0.1,0.05,0.2891566265060241,171,0.0,3.42,0.0
84,-1.8999999999999346,239,0.05,0,50,0.1,0.05,0.2857142857142857,239,0.0,5.975,0.0
85,34.000000000000284,121,0.05,0,50,0.1,0.05,0.2823529411764706,121,0.0,3.361111111111111,3334.058349609375
86,62.50000000000014,151,0.05,0,50,0.1,0.05,0.27906976744186046,151,0.006622516556291391,3.5952380952380953,0.0
87,30.999999999999375,181,0.05,0,50,0.1,0.05,0.27586206896551724,181,0.0055248618784530384,4.309523809523809,0.0
88,4.999999999999823,300,0.05,0,50,0.1,0.05,0.2727272727272727,301,0.0,15.05,0.0
89,184.99999999999693,300,0.05,0,50,0.1,0.05,0.2696629213483146,301,0.013289036544850499,5.189655172413793,0.0
90,-100,1,0.05,0,50,0.1,0.05,0.26666666666666666,1,0.0,0.027777777777777776,29.79653549194336
91,-54.899999999999935,99,0.05,0,50,0.1,0.05,0.26373626373626374,99,0.0,4.95,0.0
92,284.999999999997,300,0.05,0,50,0.1,0.05,0.2608695652173913,301,0.0,4.703125,0.0
93,739.049999999999,119,0.05,1,50,0.1,0.05,0.26881720430107525,120,0.0,2.4489795918367347,0.0
94,-125.15,4,0.05,0,50,0.1,0.05,0.26595744680851063,4,0.25,0.4444444444444444,0.0
95,165.69999999999715,287,0.05,0,50,0.1,0.05,0.2631578947368421,287,0.0,4.948275862068965,3582.754150390625
96,24.999999999999936,300,0.05,0,50,0.1,0.05,0.2604166666666667,301,0.0033222591362126247,11.148148148148149,0.0
97,657.7,46,0.05,1,50,0.1,0.05,0.26804123711340205,47,0.0,1.46875,0.0
98,70.44999999999936,92,0.05,0,50,0.1,0.05,0.2653061224489796,92,0.0,2.3,0.0
99,27.49999999999993,51,0.05,0,50,0.1,0.05,0.26262626262626265,51,0.0,1.59375,0.0
100,620.7500000000008,285,0.05,1,50,0.1,0.05,0.27,286,0.0,10.592592592592593,6705.40966796875
101,615.6000000000001,88,0.05,1,50,0.1,0.05,0.27722772277227725,89,0.033707865168539325,2.4722222222222223,0.0
102,738.8499999999991,123,0.05,1,50,0.1,0.05,0.28431372549019607,124,0.0,2.5306122448979593,0.0
103,137.39999999999978,53,0.05,0,50,0.1,0.05,0.2815533980582524,53,0.0,1.06,0.0
104,-14.99999999999999,300,0.05,0,50,0.1,0.05,0.27884615384615385,301,0.0,33.44444444444444,0.0
105,801.0499999999995,79,0.05,1,50,0.1,0.05,0.2857142857142857,80,0.0125,1.3114754098360655,3113.89306640625
106,-124.99999999999996,300,0.05,0,50,0.1,0.05,0.2830188679245283,301,0.019933554817275746,33.44444444444444,0.0
107,154.999999999997,300,0.05,0,50,0.1,0.05,0.2803738317757009,301,0.0033222591362126247,7.717948717948718,0.0
108,799.7499999999992,105,0.05,1,50,0.1,0.05,0.28703703703703703,106,0.009433962264150943,1.7377049180327868,0.0
109,105.0000000000006,300,0.05,0,50,0.1,0.05,0.28440366972477066,301,0.019933554817275746,6.02,0.0
110,-48.39999999999955,169,0.05,0,50,0.1,0.05,0.2818181818181818,169,0.0,6.2592592592592595,2999.218017578125
111,33.349999999999966,34,0.05,0,50,0.1,0.05,0.27927927927927926,34,0.0,0.4657534246575342,0.0
112,633.5500000000001,29,0.05,1,50,0.1,0.05,0.2857142857142857,30,0.0,1.1111111111111112,0.0
113,682.599999999999,148,0.05,1,50,0.1,0.05,0.2920353982300885,149,0.006711409395973154,3.5476190476190474,0.0
114,35.00000000000064,300,0.05,0,50,0.1,0.05,0.2894736842105263,301,0.016611295681063124,8.36111111111111,0.0
115,-65.0000000000001,300,0.05,0,50,0.1,0.05,0.28695652173913044,301,0.006644518272425249,75.25,61.77973556518555
