x,y
20,39
20,38
19,38
19,37
19,36
18,36
17,36
16,36
17,36
16,36
17,36
18,36
17,36
18,36
17,36
18,36
18,35
17,35
16,35
16,34
16,33
16,32
17,32
17,31
18,31
19,31
19,30
18,30
18,29
18,28
18,27
17,27
17,26
17,25
17,24
16,24
15,24
15,23
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
16,23
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
14,22
15,22
15,23
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
15,22
16,22
16,21
15,21
14,21
14,20
14,19
14,18
14,17
14,16
15,16
16,16
16,15
17,15
17,14
16,14
16,13
16,12
16,11
16,10
16,9
16,8
16,7
16,6
15,6
14,6
15,6
15,5
16,5
16,4
16,3
17,3
16,3
15,3
15,2
14,2
14,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
22,0
21,0
20,0
21,0
