x,y
41,23
41,22
41,21
41,20
41,19
41,18
41,17
41,16
41,15
41,14
41,13
41,12
41,11
41,10
40,10
39,10
39,11
38,11
38,10
38,9
38,8
39,8
38,8
39,8
38,8
39,8
38,8
39,8
38,8
39,8
39,7
39,8
38,8
39,8
38,8
39,8
38,8
37,8
36,8
37,8
36,8
35,8
36,8
36,7
35,7
34,7
34,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
34,8
34,9
35,9
36,9
36,8
36,7
35,7
34,7
34,8
33,8
34,8
33,8
34,8
33,8
32,8
33,8
32,8
33,8
32,8
31,8
32,8
33,8
34,8
33,8
34,8
33,8
34,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
34,8
33,8
32,8
33,8
33,9
34,9
33,9
34,9
33,9
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
34,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
34,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
33,7
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
32,7
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
33,9
34,9
33,9
34,9
33,9
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
33,8
32,8
