x,y
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
34,18
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
33,19
33,18
32,18
31,18
30,18
29,18
28,18
27,18
26,18
25,18
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
26,19
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
26,20
25,20
25,19
25,18
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,21
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
24,19
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
26,20
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,21
25,20
25,19
25,20
25,19
25,20
25,19
25,20
25,19
