x,y
26,40
26,39
27,39
27,38
27,37
27,36
27,35
27,34
27,33
27,32
27,31
27,30
27,29
28,29
28,28
28,27
28,26
29,26
29,25
29,24
29,23
29,22
29,21
29,20
29,19
29,18
30,18
30,17
29,17
29,18
30,18
30,17
29,17
29,18
30,18
30,17
30,16
30,15
30,14
30,13
31,13
31,12
30,12
30,13
31,13
30,13
31,13
30,13
31,13
30,13
31,13
31,12
31,11
31,10
31,9
31,10
31,9
31,10
31,9
31,10
31,9
31,10
31,9
31,10
32,10
33,10
33,9
32,9
32,8
32,7
32,6
33,6
33,5
33,6
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
32,8
32,7
32,6
33,6
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
34,8
33,8
33,7
33,8
33,7
33,8
33,7
33,8
34,8
33,8
33,7
33,8
34,8
33,8
34,8
33,8
34,8
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
33,8
34,8
33,8
33,9
32,9
31,9
31,10
30,10
30,11
30,12
30,13
31,13
30,13
31,13
31,14
30,14
30,13
31,13
31,14
30,14
30,13
29,13
29,12
29,11
29,12
29,11
29,12
29,11
29,12
29,11
29,12
29,11
29,12
29,13
30,13
31,13
31,14
30,14
30,13
31,13
31,12
31,11
31,10
31,9
31,8
31,7
31,6
31,7
31,6
31,7
31,6
31,7
32,7
32,6
32,7
32,6
33,6
33,7
33,8
34,8
33,8
33,7
33,8
33,7
33,8
33,7
33,8
33,7
