x,y
3,18
3,19
3,20
3,21
4,21
5,21
5,22
6,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
7,33
8,33
9,33
10,33
10,34
11,34
12,34
13,34
14,34
14,35
14,36
14,37
15,37
15,38
14,38
15,38
15,39
15,40
15,41
15,42
16,42
16,43
17,43
17,44
18,44
19,44
20,44
20,45
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
20,46
20,47
20,46
20,47
19,47
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,47
19,46
19,47
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
19,46
19,45
20,45
19,45
19,46
19,45
19,46
19,45
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,48
18,48
19,48
18,48
19,48
18,48
19,48
19,49
20,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
20,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
18,49
19,49
18,49
18,48
19,48
20,48
21,48
21,47
20,47
20,46
20,47
20,46
20,47
20,46
20,47
20,46
20,47
20,46
20,47
20,46
20,47
20,46
20,47
20,46
20,47
20,46
20,47
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,47
19,46
19,45
19,46
