x,y
18,36
18,35
18,34
18,33
18,32
18,31
18,30
18,29
18,28
18,27
18,26
18,25
18,24
19,24
19,23
20,23
20,22
20,21
19,21
19,20
18,20
18,19
17,19
18,19
18,18
18,17
18,16
18,15
18,14
18,13
18,12
18,11
18,10
19,10
18,10
19,10
18,10
18,9
17,9
16,9
16,8
16,7
16,8
16,7
16,8
16,7
16,8
16,7
16,8
16,7
16,8
16,7
16,8
16,7
16,8
16,7
16,8
16,7
16,8
17,8
16,8
17,8
16,8
17,8
16,8
17,8
16,8
17,8
16,8
17,8
16,8
17,8
16,8
16,7
16,8
16,7
16,8
16,7
