x,y
28,33
27,33
26,33
26,34
25,34
24,34
23,34
22,34
21,34
20,34
19,34
18,34
17,34
17,33
17,32
17,31
17,30
17,29
16,29
15,29
14,29
13,29
13,28
13,29
13,30
13,31
13,32
13,33
12,33
11,33
10,33
10,34
10,33
10,34
10,33
10,34
10,33
9,33
9,34
8,34
8,33
8,34
8,33
8,34
8,33
8,34
8,33
8,34
8,33
8,34
8,33
8,34
8,33
8,34
8,33
8,34
8,33
8,34
8,33
8,34
8,33
8,34
8,33
7,33
6,33
6,34
6,33
6,34
6,33
6,34
6,33
6,34
6,33
6,34
6,33
6,34
6,33
6,34
6,33
6,34
6,33
6,34
5,34
4,34
4,33
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,34
4,34
4,33
5,33
5,32
5,31
5,30
5,31
5,32
5,31
5,32
5,33
5,32
5,33
5,32
5,31
5,32
5,31
5,32
5,31
5,32
5,31
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,34
5,33
5,32
5,33
5,32
5,31
5,32
5,31
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
4,33
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,31
4,31
5,31
5,30
5,31
5,30
5,31
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,31
5,30
5,31
5,30
5,31
5,32
5,31
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,31
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,33
5,32
5,31
5,32
5,33
5,32
5,33
5,32
5,33
5,32
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,32
4,31
4,30
5,30
5,31
5,32
5,33
5,32
5,33
5,32
5,33
6,33
6,34
6,33
6,34
6,33
