x,y
40,29
40,28
40,27
40,26
40,25
40,24
40,23
39,23
39,22
39,21
39,20
38,20
37,20
37,19
36,19
36,18
36,17
35,17
35,16
35,15
35,14
34,14
33,14
33,13
33,12
32,12
32,11
31,11
30,11
29,11
28,11
27,11
27,12
27,11
26,11
25,11
24,11
23,11
22,11
21,11
21,10
21,9
20,9
19,9
18,9
17,9
16,9
16,8
16,9
16,10
16,11
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
17,13
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
16,13
16,12
15,12
14,12
13,12
12,12
11,12
11,13
11,14
10,14
9,14
9,15
9,14
9,15
9,14
9,15
9,14
9,15
9,14
9,15
9,14
9,15
9,14
9,15
9,16
8,16
8,17
8,18
8,19
8,18
8,19
8,18
7,18
7,17
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,18
5,18
5,17
6,17
5,17
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
6,17
6,16
7,16
