x,y
2,24
3,24
4,24
5,24
6,24
7,24
8,24
9,24
9,25
10,25
11,25
12,25
13,25
14,25
15,25
16,25
17,25
18,25
19,25
20,25
21,25
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
21,25
21,24
21,25
21,24
21,25
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
21,25
21,24
21,25
21,24
21,25
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
21,25
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
22,24
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
22,24
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
21,24
21,25
22,25
23,25
23,26
23,27
22,27
21,27
21,28
21,27
21,28
21,27
21,28
22,28
22,27
23,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
21,27
22,27
21,27
22,27
21,27
22,27
21,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
23,27
23,28
23,27
22,27
21,27
21,28
21,27
21,28
21,27
20,27
21,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
21,27
21,28
22,28
23,28
23,27
22,27
21,27
21,28
22,28
22,27
21,27
21,28
22,28
23,28
23,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
23,27
22,27
21,27
22,27
21,27
22,27
21,27
22,27
23,27
22,27
21,27
21,28
22,28
22,29
23,29
24,29
25,29
25,28
26,28
26,27
27,27
28,27
28,26
28,25
29,25
30,25
31,25
31,26
31,25
31,26
31,25
32,25
33,25
34,25
35,25
36,25
36,24
36,25
36,24
36,25
36,26
37,26
38,26
38,25
38,26
38,27
39,27
40,27
40,26
40,27
40,26
40,27
40,26
40,27
40,26
41,26
42,26
42,25
43,25
44,25
44,24
45,24
44,24
45,24
44,24
45,24
44,24
44,23
44,24
45,24
44,24
45,24
44,24
