episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
1,-88.55000000000001,152,0.8367932620981088,0,50,0.07,0.03,0.0,152,0.013157894736842105,4.75
2,-69.84999999999968,178,0.5859418578171399,0,50,0.07,0.03,0.0,178,0.0,5.5625
3,-197.49999999999972,151,0.4330781352473248,0,50,0.07,0.03,0.0,151,0.07947019867549669,4.71875
4,291.0000000000001,100,0.35450338534982534,1,50,0.07,0.03,0.25,101,0.0,3.15625
5,-89.89999999999992,119,0.2793539393818723,0,50,0.07,0.03,0.2,119,0.04201680672268908,3.71875
6,263.50000000000006,50,0.25274458775264114,1,50,0.07,0.03,0.3333333333333333,51,0.058823529411764705,1.59375
7,-79.09999999999962,223,0.1617307391947916,0,50,0.07,0.03,0.2857142857142857,223,0.017937219730941704,6.96875
8,291.20000000000016,96,0.13345183047073594,1,50,0.07,0.03,0.375,97,0.0,3.03125
9,294.00000000000006,40,0.12318169807254152,1,50,0.07,0.03,0.4444444444444444,41,0.0,1.28125
10,-35.9999999999997,1000,0.05,0,50,0.07,0.03,0.4,1001,0.006993006993006993,23.27906976744186
11,264.5000000000009,350,0.05,1,50,0.07,0.03,0.45454545454545453,351,0.005698005698005698,10.323529411764707
12,305.5000000000001,50,0.05,1,50,0.07,0.03,0.5,51,0.0,1.4166666666666667
13,-17.699999999999946,35,0.05,0,50,0.07,0.03,0.46153846153846156,35,0.0,0.9722222222222222
14,295.80000000000007,44,0.05,1,50,0.07,0.03,0.5,45,0.022222222222222223,1.25
15,-58.699999999999996,15,0.05,0,50,0.07,0.03,0.4666666666666667,15,0.0,0.4838709677419355
16,-3.2499999999999147,46,0.05,0,50,0.07,0.03,0.4375,46,0.0,1.069767441860465
17,308.45,211,0.05,1,50,0.07,0.03,0.47058823529411764,212,0.0047169811320754715,4.930232558139535
18,250.65000000000032,247,0.05,1,50,0.07,0.03,0.5,248,0.012096774193548387,8.0
19,-69.29999999999964,147,0.05,0,50,0.07,0.03,0.47368421052631576,147,0.006802721088435374,4.083333333333333
20,290.10000000000025,118,0.05,1,50,0.07,0.03,0.5,119,0.0,3.71875
21,-52.899999999999984,19,0.05,0,50,0.07,0.03,0.47619047619047616,19,0.0,0.5588235294117647
22,-30.000000000000238,1000,0.05,0,50,0.07,0.03,0.45454545454545453,1001,0.000999000999000999,35.75
23,-88.95000000000002,40,0.05,0,50,0.07,0.03,0.43478260869565216,40,0.05,1.2903225806451613
24,288.5000000000007,270,0.05,1,50,0.07,0.03,0.4583333333333333,271,0.0,7.970588235294118
25,287.0000000000002,100,0.05,1,50,0.07,0.03,0.48,101,0.009900990099009901,2.9705882352941178
26,-125.79999999999926,637,0.05,0,50,0.07,0.03,0.46153846153846156,637,0.004709576138147566,22.75
27,-73.45,10,0.05,0,50,0.07,0.03,0.4444444444444444,10,0.0,0.18518518518518517
28,44.0000000000028,1000,0.05,0,50,0.07,0.03,0.42857142857142855,1001,0.001998001998001998,25.025
29,-77.99999999999848,1000,0.05,0,50,0.07,0.03,0.41379310344827586,1001,0.012987012987012988,25.025
30,-18.749999999999375,236,0.05,0,50,0.07,0.03,0.4,236,0.0,5.488372093023256
31,-95.40000000000022,629,0.05,0,50,0.07,0.03,0.3870967741935484,629,0.0,41.93333333333333
32,237.95,141,0.05,1,50,0.07,0.03,0.40625,142,0.0,9.466666666666667
33,299.0000000000001,60,0.05,1,50,0.07,0.03,0.42424242424242425,61,0.0,1.7941176470588236
34,322.0000000000003,120,0.05,1,50,0.07,0.03,0.4411764705882353,121,0.008264462809917356,2.630434782608696
35,296.1,38,0.05,1,50,0.07,0.03,0.45714285714285713,39,0.02564102564102564,1.0833333333333333
36,325.30000000000007,54,0.05,1,50,0.07,0.03,0.4722222222222222,55,0.01818181818181818,1.1956521739130435
37,296.20000000000005,36,0.05,1,50,0.07,0.03,0.4864864864864865,37,0.02702702702702703,1.0277777777777777
38,205.89999999999998,2,0.05,1,50,0.07,0.03,0.5,3,0.0,1.5
39,313.80000000000075,284,0.05,1,50,0.07,0.03,0.5128205128205128,285,0.0035087719298245615,6.195652173913044
40,231.25,75,0.05,1,50,0.07,0.03,0.525,76,0.013157894736842105,5.066666666666666
41,297.80000000000007,44,0.05,1,50,0.07,0.03,0.5365853658536586,45,0.044444444444444446,1.125
42,301.8000000000004,164,0.05,1,50,0.07,0.03,0.5476190476190477,165,0.006060606060606061,4.125
43,306.1,38,0.05,1,50,0.07,0.03,0.5581395348837209,39,0.0,1.0833333333333333
44,-21.99999999999949,1000,0.05,0,50,0.07,0.03,0.5454545454545454,1001,0.007992007992007992,25.025
45,8.000000000001592,1000,0.05,0,50,0.07,0.03,0.5333333333333333,1001,0.004995004995004995,25.025
46,278.4500000000001,51,0.05,1,50,0.07,0.03,0.5434782608695652,52,0.0,1.9259259259259258
47,325.95000000000005,61,0.05,1,50,0.07,0.03,0.5531914893617021,62,0.0,1.441860465116279
48,244.04999999999998,19,0.05,1,50,0.07,0.03,0.5625,20,0.0,1.3333333333333333
49,267.6500000000001,107,0.05,1,50,0.07,0.03,0.5714285714285714,108,0.018518518518518517,3.4838709677419355
50,-21.999999999998206,1000,0.05,0,50,0.07,0.03,0.56,1001,0.007992007992007992,25.025
51,243.05000000000004,39,0.05,1,50,0.07,0.03,0.5686274509803921,40,0.0,2.6666666666666665
52,205.89999999999998,2,0.05,1,50,0.07,0.03,0.5769230769230769,3,0.0,1.5
53,-63.999999999999346,1000,0.05,0,50,0.07,0.03,0.5660377358490566,1001,0.004995004995004995,35.75
54,148.3000000000006,554,0.05,1,50,0.07,0.03,0.5740740740740741,555,0.005405405405405406,277.5
55,-14.049999999999187,302,0.05,0,50,0.07,0.03,0.5636363636363636,302,0.0033112582781456954,7.55
56,-37.54999999999967,132,0.05,0,50,0.07,0.03,0.5535714285714286,132,0.0,3.6666666666666665
57,244.25,15,0.05,1,50,0.07,0.03,0.5614035087719298,16,0.0,1.0666666666666667
58,-478.0000000000043,1000,0.05,0,50,0.07,0.03,0.5517241379310345,1001,0.04395604395604396,91.0
59,212.2500000000007,815,0.05,1,50,0.07,0.03,0.559322033898305,816,0.004901960784313725,26.322580645161292
60,95.3500000000002,273,0.05,1,50,0.07,0.03,0.5666666666666667,274,0.08029197080291971,6.372093023255814
61,-34.74999999999949,196,0.05,0,50,0.07,0.03,0.5573770491803278,196,0.0,5.0256410256410255
62,134.70000000000098,666,0.05,1,50,0.07,0.03,0.5645161290322581,667,0.025487256371814093,14.5
63,-28.450000000002063,909,0.05,1,50,0.07,0.03,0.5714285714285714,910,0.023076923076923078,101.11111111111111
64,206.90000000000035,622,0.05,1,50,0.07,0.03,0.578125,623,0.011235955056179775,17.305555555555557
65,2.650000000000091,48,0.05,0,50,0.07,0.03,0.5692307692307692,48,0.0,0.64
66,289.95000000000044,181,0.05,1,50,0.07,0.03,0.5757575757575758,182,0.016483516483516484,4.232558139534884
67,257.4500000000021,751,0.05,1,50,0.07,0.03,0.582089552238806,752,0.0013297872340425532,21.485714285714284
68,-76.7,15,0.05,0,50,0.07,0.03,0.5735294117647058,15,0.0,0.2777777777777778
69,293.4000000000001,52,0.05,1,50,0.07,0.03,0.5797101449275363,53,0.0,1.65625
70,214.85,203,0.05,1,50,0.07,0.03,0.5857142857142857,204,0.00980392156862745,13.6
71,-30.00000000000071,200,0.05,1,50,0.07,0.03,0.5915492957746479,201,0.1691542288557214,5.025
72,40.999999999996305,781,0.05,0,50,0.07,0.03,0.5833333333333334,781,0.0038412291933418692,10.413333333333334
73,377.14999999999014,957,0.05,1,50,0.07,0.03,0.589041095890411,958,0.0,12.773333333333333
74,-68.90000000000003,99,0.05,0,50,0.07,0.03,0.581081081081081,99,0.0,3.5357142857142856
75,205.89999999999998,2,0.05,1,50,0.07,0.03,0.5866666666666667,3,0.0,1.5
76,289.15000000000003,37,0.05,1,50,0.07,0.03,0.5921052631578947,38,0.05263157894736842,1.027027027027027
77,367.04999999999967,79,0.05,1,50,0.07,0.03,0.5974025974025974,80,0.0,1.4035087719298245
78,352.94999999999874,161,0.05,1,50,0.07,0.03,0.6025641025641025,162,0.006172839506172839,2.8421052631578947
79,317.6000000000001,48,0.05,1,50,0.07,0.03,0.6075949367088608,49,0.0,1.225
80,205.89999999999998,2,0.05,1,50,0.07,0.03,0.6125,3,0.0,1.5
81,225.04999999999995,39,0.05,1,50,0.07,0.03,0.6172839506172839,40,0.0,4.444444444444445
82,254.40000000000128,472,0.05,1,50,0.07,0.03,0.6219512195121951,473,0.0,18.192307692307693
83,-3.2499999999998153,86,0.05,0,50,0.07,0.03,0.6144578313253012,86,0.011627906976744186,1.7916666666666667
84,-63.649999999998634,534,0.05,0,50,0.07,0.03,0.6071428571428571,534,0.0,19.071428571428573
85,226.54999999999998,9,0.05,1,50,0.07,0.03,0.611764705882353,10,0.0,1.1111111111111112
86,294.10000000000036,158,0.05,1,50,0.07,0.03,0.6162790697674418,159,0.0,4.676470588235294
87,-80.20000000000006,85,0.05,0,50,0.07,0.03,0.6091954022988506,85,0.0,1.5740740740740742
88,289.9500000000001,61,0.05,1,50,0.07,0.03,0.6136363636363636,62,0.0,2.0
89,279.35,33,0.05,1,50,0.07,0.03,0.6179775280898876,34,0.0,1.2592592592592593
90,344.94999999999936,121,0.05,1,50,0.07,0.03,0.6222222222222222,122,0.01639344262295082,2.1403508771929824
91,254.00000000000006,40,0.05,1,50,0.07,0.03,0.6263736263736264,41,0.024390243902439025,1.8636363636363635
92,263.9000000000001,42,0.05,1,50,0.07,0.03,0.6304347826086957,43,0.0,1.9545454545454546
93,293.5000000000001,50,0.05,1,50,0.07,0.03,0.6344086021505376,51,0.0,1.59375
94,238.55000000000013,129,0.05,1,50,0.07,0.03,0.6382978723404256,130,0.0,8.666666666666666
95,-56.749999999999275,276,0.05,0,50,0.07,0.03,0.631578947368421,276,0.0,9.857142857142858
96,-66.94999999999871,480,0.05,0,50,0.07,0.03,0.625,480,0.0,17.142857142857142
97,261.30000000000024,94,0.05,1,50,0.07,0.03,0.6288659793814433,95,0.0,4.318181818181818
98,-55.99999999999987,1000,0.05,0,50,0.07,0.03,0.6224489795918368,1001,0.002997002997002997,91.0
99,202.70000000000002,386,0.05,1,50,0.07,0.03,0.6262626262626263,387,0.00516795865633075,27.642857142857142
100,-1.5999999999996248,153,0.05,0,50,0.07,0.03,0.62,153,0.013071895424836602,3.1875
