x,y
37,31
37,32
37,33
37,34
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
39,34
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,34
38,35
38,36
38,35
38,36
38,35
38,34
38,35
38,34
38,35
37,35
38,35
37,35
38,35
38,36
38,35
38,36
38,35
38,36
38,35
38,36
38,35
38,36
38,35
38,36
38,35
38,36
38,35
38,36
38,35
38,36
37,36
37,37
38,37
37,37
38,37
37,37
38,37
37,37
38,37
37,37
38,37
37,37
38,37
37,37
38,37
37,37
38,37
39,37
38,37
38,36
38,35
38,36
38,35
38,36
38,37
38,36
38,37
38,36
38,37
38,36
38,37
38,36
38,35
38,36
38,35
38,36
38,35
38,36
37,36
37,35
38,35
38,36
37,36
37,35
38,35
38,36
37,36
37,35
38,35
38,36
38,37
38,36
38,37
38,36
38,37
38,36
38,37
38,36
38,37
38,36
38,37
38,36
38,37
38,38
37,38
38,38
37,38
38,38
37,38
38,38
37,38
38,38
37,38
38,38
37,38
