x,y
39,25
39,24
39,23
39,22
39,21
39,20
39,19
38,19
38,18
37,18
37,17
37,16
36,16
36,15
36,16
36,15
36,16
36,15
36,16
36,15
36,16
36,15
36,16
36,15
36,16
36,15
36,16
36,15
36,16
36,15
36,16
36,15
36,16
36,15
36,16
36,15
35,15
34,15
33,15
32,15
31,15
30,15
30,14
29,14
29,13
28,13
27,13
26,13
26,14
25,14
24,14
24,13
23,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
15,14
14,14
13,14
12,14
12,13
12,14
12,13
12,14
12,13
12,14
12,13
12,14
12,13
12,14
12,13
12,14
12,13
12,14
12,13
12,14
12,13
12,14
12,13
12,14
12,13
12,14
12,13
12,14
12,13
11,13
11,12
10,12
10,11
10,12
10,11
10,12
10,11
9,11
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
11,12
10,12
10,11
10,12
10,11
9,11
10,11
9,11
10,11
10,12
10,11
11,11
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,11
10,12
10,13
9,13
8,13
7,13
8,13
7,13
8,13
7,13
8,13
7,13
8,13
7,13
7,12
