x,y
24,8
24,9
23,9
24,9
24,10
25,10
26,10
25,10
24,10
24,9
23,9
23,10
22,10
22,9
21,9
22,9
22,8
22,7
21,7
21,6
21,5
20,5
20,4
20,3
19,3
20,3
21,3
21,4
22,4
22,5
21,5
20,5
19,5
19,4
20,4
20,3
21,3
21,4
21,5
21,6
22,6
22,7
22,8
23,8
23,9
23,10
23,11
23,10
23,11
23,10
23,11
23,10
22,10
23,10
22,10
21,10
22,10
22,9
21,9
21,8
22,8
21,8
21,7
21,8
21,9
21,8
20,8
20,9
20,8
19,8
19,9
20,9
19,9
19,10
19,11
20,11
20,10
21,10
21,11
20,11
21,11
21,12
21,11
21,10
22,10
23,10
24,10
24,9
25,9
24,9
25,9
26,9
27,9
27,8
26,8
26,9
26,8
26,7
26,6
26,5
25,5
24,5
23,5
24,5
24,4
24,3
24,2
25,2
24,2
24,1
25,1
25,0
26,0
27,0
