x,y
26,44
26,43
26,42
26,41
26,40
26,39
26,38
25,38
24,38
23,38
23,37
22,37
22,36
22,35
22,34
21,34
20,34
19,34
18,34
17,34
17,33
17,32
17,31
16,31
16,30
15,30
14,30
14,29
13,29
13,28
13,27
12,27
12,28
11,28
10,28
11,28
12,28
11,28
12,28
11,28
12,28
11,28
12,28
11,28
12,28
11,28
10,28
9,28
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
9,29
10,29
9,29
10,29
9,29
10,29
9,29
10,29
9,29
9,30
9,29
10,29
9,29
9,30
9,29
9,30
9,29
10,29
9,29
8,29
8,28
8,29
8,28
8,29
7,29
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,29
8,28
8,27
9,27
9,26
8,26
9,26
8,26
9,26
8,26
9,26
9,25
10,25
11,25
11,26
10,26
11,26
10,26
11,26
10,26
11,26
10,26
11,26
10,26
11,26
10,26
11,26
12,26
12,25
11,25
11,26
11,27
12,27
12,28
11,28
10,28
11,28
10,28
11,28
10,28
11,28
10,28
11,28
10,28
11,28
12,28
11,28
12,28
12,27
12,28
11,28
10,28
11,28
10,28
11,28
10,28
11,28
10,28
10,29
9,29
10,29
9,29
10,29
9,29
10,29
9,29
10,29
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
9,29
9,30
8,30
9,30
9,29
9,30
9,29
9,30
9,29
10,29
9,29
10,29
9,29
10,29
9,29
10,29
9,29
9,30
9,29
9,30
9,29
