x,y
40,20
39,20
38,20
37,20
36,20
36,19
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
37,18
37,19
36,19
36,18
36,19
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
36,18
36,19
37,19
36,19
37,19
36,19
37,19
36,19
37,19
36,19
36,18
36,19
36,18
36,19
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
36,18
36,17
35,17
35,16
34,16
33,16
32,16
31,16
31,15
30,15
30,14
30,13
29,13
29,12
28,12
28,11
27,11
27,12
26,12
26,11
27,11
27,12
26,12
26,11
27,11
27,12
26,12
26,11
27,11
27,12
26,12
26,11
26,12
26,11
27,11
27,12
26,12
26,11
27,11
27,12
26,12
26,11
27,11
28,11
28,12
28,11
28,12
28,11
28,12
28,11
28,12
29,12
28,12
28,11
28,12
28,11
28,12
28,11
27,11
28,11
27,11
28,11
27,11
28,11
27,11
28,11
28,12
28,11
28,12
28,11
28,12
28,11
28,10
