x,y
45,9
44,9
44,10
43,10
42,10
41,10
40,10
39,10
38,10
37,10
36,10
35,10
34,10
33,10
32,10
32,11
32,12
32,13
32,14
31,14
30,14
29,14
28,14
27,14
26,14
25,14
24,14
23,14
22,14
21,14
20,14
20,15
20,16
19,16
18,16
17,16
16,16
16,15
16,16
16,15
16,16
16,15
16,16
16,15
16,16
16,15
15,15
15,14
15,15
15,14
15,15
15,16
14,16
14,17
13,17
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
13,18
12,18
11,18
11,19
12,19
12,20
12,21
13,21
13,22
13,23
13,24
14,24
15,24
16,24
16,25
17,25
17,26
16,26
16,27
16,28
16,29
17,29
18,29
19,29
20,29
20,30
20,31
21,31
21,32
21,33
21,34
21,35
21,34
21,35
21,36
21,37
21,38
20,38
19,38
19,39
18,39
18,40
17,40
17,41
17,42
16,42
