x,y
17,42
18,42
18,41
18,40
19,40
20,40
20,39
20,38
20,37
20,36
20,35
21,35
22,35
22,34
22,33
23,33
23,32
24,32
24,31
25,31
26,31
26,30
26,29
27,29
27,28
27,27
27,26
27,25
28,25
28,24
28,23
28,22
28,21
28,20
29,20
29,19
29,18
29,17
29,16
29,15
29,14
28,14
28,15
28,14
28,13
28,12
29,12
29,11
29,10
30,10
30,9
30,8
31,8
32,8
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,7
41,7
41,6
42,6
41,6
42,6
41,6
42,6
41,6
42,6
41,6
42,6
41,6
42,6
41,6
42,6
41,6
42,6
42,7
41,7
41,6
42,6
41,6
42,6
41,6
42,6
41,6
42,6
41,6
42,6
41,6
42,6
41,6
42,6
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,8
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,5
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
40,7
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
40,7
41,7
41,6
41,7
41,6
41,7
41,6
41,7
42,7
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
