x,y
2,47
2,46
3,46
4,46
5,46
5,45
6,45
6,44
7,44
8,44
9,44
10,44
10,43
9,43
10,43
11,43
12,43
12,42
13,42
14,42
14,41
15,41
15,40
16,40
17,40
17,39
18,39
18,38
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
16,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
17,37
18,37
18,36
18,35
19,35
