episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
61,85.7500000000003,145,0.05,1,50,0.07,0.03,0.6557377049180327,146,0.1780821917808219,2.8627450980392157
62,335.50000000000006,50,0.05,1,50,0.07,0.03,0.6612903225806451,51,0.0,1.108695652173913
63,-94.7,15,0.05,0,50,0.07,0.03,0.6507936507936508,15,0.0,0.5172413793103449
64,-62.25000000000199,425,0.05,1,50,0.07,0.03,0.65625,426,0.07276995305164319,18.52173913043478
65,254.2500000000001,55,0.05,1,50,0.07,0.03,0.6615384615384615,56,0.0,2.9473684210526314
66,287.9000000000001,42,0.05,1,50,0.07,0.03,0.6666666666666666,43,0.0,1.4333333333333333
67,220.25,15,0.05,1,50,0.07,0.03,0.6716417910447762,16,0.0,2.2857142857142856
68,238.45,51,0.05,1,50,0.07,0.03,0.6764705882352942,52,0.019230769230769232,3.0588235294117645
69,286.40000000000015,72,0.05,1,50,0.07,0.03,0.6811594202898551,73,0.0,2.433333333333333
70,300.75000000000017,85,0.05,1,50,0.07,0.03,0.6857142857142857,86,0.03488372093023256,1.9111111111111112
71,249.75000000000003,25,0.05,1,50,0.07,0.03,0.6901408450704225,26,0.0,1.5294117647058822
72,17.049999999999955,119,0.05,1,50,0.07,0.03,0.6944444444444444,120,0.275,2.3529411764705883
73,219.35,33,0.05,1,50,0.07,0.03,0.6986301369863014,34,0.0,4.857142857142857
74,-101.04999999999998,82,0.05,0,50,0.07,0.03,0.6891891891891891,82,0.0,2.8275862068965516
75,266.75000000000097,365,0.05,1,50,0.07,0.03,0.6933333333333334,366,0.01366120218579235,8.133333333333333
76,403.4499999999998,71,0.05,1,50,0.07,0.03,0.6973684210526315,72,0.0,1.0434782608695652
77,192.74999999999997,565,0.05,1,50,0.07,0.03,0.7012987012987013,566,0.0,80.85714285714286
78,309.7500000000008,305,0.05,1,50,0.07,0.03,0.7051282051282052,306,0.0032679738562091504,6.8
79,243.65000000000015,67,0.05,1,50,0.07,0.03,0.7088607594936709,68,0.014705882352941176,3.5789473684210527
80,-100.89999999999999,19,0.05,0,50,0.07,0.03,0.7,19,0.0,0.6785714285714286
81,403.5499999999998,69,0.05,1,50,0.07,0.03,0.7037037037037037,70,0.0,1.0144927536231885
82,-113.15000000000003,84,0.05,0,50,0.07,0.03,0.6951219512195121,84,0.0,7.636363636363637
83,-70.10000000000007,243,0.05,0,50,0.07,0.03,0.6867469879518072,243,0.012345679012345678,8.678571428571429
84,383.44999999999993,71,0.05,1,50,0.07,0.03,0.6904761904761905,72,0.027777777777777776,1.0434782608695652
85,-113.4000000000003,469,0.05,0,50,0.07,0.03,0.6823529411764706,469,0.010660980810234541,14.65625
86,284.7500000000005,205,0.05,1,50,0.07,0.03,0.686046511627907,206,0.019417475728155338,4.5777777777777775
