x,y
5,19
4,19
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
4,19
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
4,19
3,19
4,19
3,19
4,19
3,19
4,19
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
2,19
3,19
3,18
3,19
3,18
4,18
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
3,18
3,19
2,19
3,19
3,18
2,18
3,18
2,18
3,18
2,18
3,18
2,18
3,18
2,18
3,18
2,18
3,18
2,18
3,18
2,18
3,18
2,18
3,18
2,18
3,18
2,18
3,18
2,18
1,18
1,17
1,16
1,15
1,14
1,15
1,14
1,15
