episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
56,-73.99999999999963,1000,0.05,0,50,0.07,0.03,0.08928571428571429,1001,0.0,125.125
57,-135.74999999999937,296,0.05,0,50,0.07,0.03,0.08771929824561403,296,0.0,10.962962962962964
58,-38.000000000000234,1000,0.05,0,50,0.07,0.03,0.08620689655172414,1001,0.0,47.666666666666664
59,248.70000000000098,466,0.05,1,50,0.07,0.03,0.1016949152542373,467,0.0,19.458333333333332
60,-20.000000000000362,1000,0.05,0,50,0.07,0.03,0.1,1001,0.0,41.708333333333336
61,-107.25,86,0.05,0,50,0.07,0.03,0.09836065573770492,86,0.0,17.2
62,-86.85000000000016,558,0.05,0,50,0.07,0.03,0.0967741935483871,558,0.0017921146953405018,22.32
63,-103.25,6,0.05,0,50,0.07,0.03,0.09523809523809523,6,0.0,1.2
64,-104.44999999999999,30,0.05,0,50,0.07,0.03,0.09375,30,0.0,6.0
65,-153.74999999999983,576,0.05,0,50,0.07,0.03,0.09230769230769231,576,0.001736111111111111,23.04
66,-159.39999999999912,389,0.05,0,50,0.07,0.03,0.09090909090909091,389,0.002570694087403599,25.933333333333334
67,-344.90000000000396,579,0.05,0,50,0.07,0.03,0.08955223880597014,579,0.046632124352331605,24.125
68,-160.0000000000042,1000,0.05,0,50,0.07,0.03,0.08823529411764706,1001,0.013986013986013986,45.5
69,-230.64999999999802,794,0.05,0,50,0.07,0.03,0.08695652173913043,794,0.005037783375314861,56.714285714285715
70,-128.6000000000001,573,0.05,0,50,0.07,0.03,0.08571428571428572,573,0.005235602094240838,22.92
71,-184.00000000000756,1000,0.05,0,50,0.07,0.03,0.08450704225352113,1001,0.016983016983016984,15.88888888888889
72,-105.99999999999999,121,0.05,0,50,0.07,0.03,0.08333333333333333,121,0.0,24.2
