episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio,loss
1,-180.6499999999998,114,0.9029373243680279,0,50,0.1,0.05,0.0,114,0.02631578947368421,10.363636363636363,0.0
2,-200,155,0.6620510904222189,0,50,0.1,0.05,0.0,155,0.04516129032258064,14.090909090909092,0.0
3,514.15,17,0.6398979326634526,1,50,0.1,0.05,0.3333333333333333,18,0.1111111111111111,1.6363636363636365,0.0
4,-200,86,0.5386879462147236,0,50,0.1,0.05,0.25,86,0.046511627906976744,4.095238095238095,0.0
5,-200,188,0.36972517214576905,0,50,0.1,0.05,0.2,188,0.047872340425531915,8.952380952380953,0.0
6,-144.34999999999994,188,0.25375860714679976,0,50,0.1,0.05,0.16666666666666666,188,0.0,17.09090909090909,0.0
7,-74.99999999999956,300,0.13918203050521344,0,50,0.1,0.05,0.14285714285714285,301,0.006644518272425249,14.333333333333334,0.0
8,527.5500000000002,149,0.10328418332756144,1,50,0.1,0.05,0.25,150,0.006666666666666667,13.636363636363637,0.0
9,-4.999999999999345,300,0.05664951631093473,0,50,0.1,0.05,0.2222222222222222,301,0.0033222591362126247,14.333333333333334,0.0
10,-24.999999999999723,300,0.05,0,50,0.1,0.05,0.2,301,0.013289036544850499,14.333333333333334,13.819913864135742
11,553.75,25,0.05,1,50,0.1,0.05,0.2727272727272727,26,0.0,2.3636363636363638,0.0
12,15.00000000000044,300,0.05,0,50,0.1,0.05,0.25,301,0.009966777408637873,14.333333333333334,0.0
13,-200,300,0.05,0,50,0.1,0.05,0.23076923076923078,301,0.17940199335548174,27.363636363636363,0.0
14,33.80000000000075,124,0.05,1,50,0.1,0.05,0.2857142857142857,125,0.2,15.625,0.0
15,-200,300,0.05,0,50,0.1,0.05,0.26666666666666666,301,0.06312292358803986,7.525,53.082420349121094
16,-200,300,0.05,0,50,0.1,0.05,0.25,301,0.15282392026578073,7.525,0.0
17,-200,300,0.05,0,50,0.1,0.05,0.23529411764705882,301,0.28903654485049834,37.625,0.0
18,-200,300,0.05,0,50,0.1,0.05,0.2222222222222222,301,0.25249169435215946,7.525,0.0
19,24.999999999999854,300,0.05,0,50,0.1,0.05,0.21052631578947367,301,0.0,27.363636363636363,0.0
20,-200,300,0.05,0,50,0.1,0.05,0.2,301,0.27906976744186046,7.525,8504.0625
21,-104.9999999999996,300,0.05,0,50,0.1,0.05,0.19047619047619047,301,0.016611295681063124,37.625,0.0
22,-15.000000000000025,300,0.05,0,50,0.1,0.05,0.18181818181818182,301,0.0033222591362126247,27.363636363636363,0.0
23,65.00000000000074,300,0.05,0,50,0.1,0.05,0.17391304347826086,301,0.0033222591362126247,14.333333333333334,0.0
24,552.6500000000001,47,0.05,1,50,0.1,0.05,0.20833333333333334,48,0.0,4.363636363636363,0.0
25,549.7499999999999,105,0.05,1,50,0.1,0.05,0.24,106,0.0,9.636363636363637,84.60075378417969
26,553.55,29,0.05,1,50,0.1,0.05,0.2692307692307692,30,0.0,2.727272727272727,0.0
27,24.999999999999826,300,0.05,0,50,0.1,0.05,0.25925925925925924,301,0.0,27.363636363636363,0.0
28,94.99999999999822,300,0.05,0,50,0.1,0.05,0.25,301,0.0033222591362126247,7.525,0.0
29,214.99999999999767,300,0.05,0,50,0.1,0.05,0.2413793103448276,301,0.0033222591362126247,4.934426229508197,0.0
30,-5.0000000000000755,300,0.05,0,50,0.1,0.05,0.23333333333333334,301,0.0,27.363636363636363,90.37757110595703
31,490.3,194,0.05,1,50,0.1,0.05,0.25806451612903225,195,0.010256410256410256,24.375,0.0
32,35.00000000000004,300,0.05,0,50,0.1,0.05,0.25,301,0.0,23.153846153846153,0.0
