x,y
28,1
29,1
30,1
31,1
32,1
32,2
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,0
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
34,2
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
33,2
33,1
32,1
32,2
32,3
32,4
33,4
33,3
33,2
33,1
33,2
33,1
33,2
34,2
34,1
34,2
34,3
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
34,4
34,5
33,5
34,5
34,4
34,5
34,4
34,5
34,4
34,5
33,5
34,5
33,5
34,5
33,5
34,5
33,5
34,5
33,5
34,5
33,5
34,5
33,5
34,5
33,5
34,5
33,5
32,5
32,4
33,4
32,4
33,4
32,4
33,4
32,4
32,3
33,3
32,3
33,3
32,3
33,3
34,3
34,4
34,5
34,6
35,6
36,6
37,6
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
37,8
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
36,8
37,8
37,7
36,7
36,8
37,8
37,7
36,7
36,8
37,8
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
36,8
37,8
37,7
36,7
36,8
37,8
37,7
36,7
36,8
37,8
37,7
36,7
36,8
37,8
37,7
38,7
37,7
38,7
37,7
38,7
37,7
38,7
37,7
38,7
37,7
38,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
37,7
36,7
