x,y
43,39
43,38
43,39
43,38
42,38
41,38
41,37
41,36
40,36
40,35
39,35
38,35
38,34
37,34
37,33
37,32
37,31
37,30
37,29
36,29
36,28
36,27
36,26
36,25
35,25
34,25
34,24
33,24
33,23
33,22
33,21
32,21
32,20
31,20
30,20
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,19
29,20
29,21
29,20
29,21
29,20
30,20
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,22
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
30,21
30,20
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
30,20
29,20
29,21
29,20
29,21
29,22
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,22
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,22
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
29,20
29,21
28,21
28,20
27,20
27,19
27,18
27,17
27,16
27,17
27,16
27,15
27,14
27,13
26,13
26,12
26,11
26,10
26,9
26,8
26,7
26,8
26,7
26,8
26,7
26,8
