episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio,loss
1,-135.0,21,1.0,0,50,0.1,0.05,0.0,21,0.047619047619047616,2.625,0.0
2,-100.89999999999999,19,1.0,0,50,0.1,0.05,0.0,19,0.0,2.375,0.0
3,-183.2499999999999,66,0.9175152161429493,0,50,0.1,0.05,0.0,66,0.09090909090909091,8.25,0.0
4,-113.35000000000001,28,0.867497898521388,0,50,0.1,0.05,0.0,28,0.0,3.5,0.0
5,-180.45,50,0.7848659633124138,0,50,0.1,0.05,0.0,50,0.1,6.25,0.0
6,-132.25000000000003,46,0.7158143409445584,0,50,0.1,0.05,0.0,46,0.021739130434782608,1.069767441860465,0.0
7,-200,116,0.5674703624202465,0,50,0.1,0.05,0.0,116,0.034482758620689655,23.2,0.0
8,465.7500000000001,85,0.478673289178004,1,50,0.1,0.05,0.125,86,0.05813953488372093,17.2,0.0
9,-128.9499999999998,220,0.3081472362822556,0,50,0.1,0.05,0.1111111111111111,220,0.013636363636363636,20.0,0.0
10,-76.4,9,0.30264475277624087,0,50,0.1,0.05,0.1,9,0.0,0.8181818181818182,3823.1728515625
11,468.0000000000003,280,0.1727765146947233,1,50,0.1,0.05,0.18181818181818182,281,0.017793594306049824,35.125,0.0
12,519.15,17,0.1669951702601103,1,50,0.1,0.05,0.25,18,0.0,3.6,0.0
13,-188.9999999999997,300,0.09159384638299199,0,50,0.1,0.05,0.23076923076923078,301,0.10299003322259136,7.0,0.0
14,521.8,44,0.08387067026593203,1,50,0.1,0.05,0.2857142857142857,45,0.022222222222222223,7.5,0.0
15,519.75,5,0.0830353116871367,1,50,0.1,0.05,0.3333333333333333,6,0.0,1.2,39.466026306152344
16,647.2499999999998,95,0.06865374656666072,1,50,0.1,0.05,0.375,96,0.020833333333333332,2.2325581395348837,0.0
17,134.99999999999827,300,0.05,0,50,0.1,0.05,0.35294117647058826,301,0.0033222591362126247,7.0,0.0
18,521.2,16,0.05,1,50,0.1,0.05,0.3888888888888889,17,0.058823529411764705,2.125,0.0
19,-128.99999999999937,300,0.05,0,50,0.1,0.05,0.3684210526315789,301,0.0033222591362126247,60.2,0.0
20,81.00000000000082,300,0.05,0,50,0.1,0.05,0.35,301,0.013289036544850499,7.0,27.701108932495117
21,15.000000000000448,300,0.05,0,50,0.1,0.05,0.3333333333333333,301,0.0033222591362126247,27.363636363636363,0.0
22,653.349999999999,213,0.05,1,50,0.1,0.05,0.36363636363636365,214,0.0,5.219512195121951,0.0
23,-95.79999999999949,237,0.05,0,50,0.1,0.05,0.34782608695652173,237,0.016877637130801686,9.48,0.0
24,577.6500000000001,47,0.05,1,50,0.1,0.05,0.375,48,0.041666666666666664,1.92,0.0
25,501.9,42,0.05,1,50,0.1,0.05,0.4,43,0.06976744186046512,7.166666666666667,3699.015869140625
26,-32.999999999999666,300,0.05,0,50,0.1,0.05,0.38461538461538464,301,0.006644518272425249,50.166666666666664,0.0
27,522.9,182,0.05,1,50,0.1,0.05,0.4074074074074074,183,0.0,22.875,0.0
28,15.000000000000405,300,0.05,0,50,0.1,0.05,0.39285714285714285,301,0.04318936877076412,7.0,0.0
29,604.4500000000004,151,0.05,1,50,0.1,0.05,0.41379310344827586,152,0.039473684210526314,3.5348837209302326,0.0
30,-60.9999999999998,300,0.05,0,50,0.1,0.05,0.4,301,0.023255813953488372,17.705882352941178,7662.4619140625
31,0.9999999999999147,300,0.05,0,50,0.1,0.05,0.3870967741935484,301,0.0,17.705882352941178,0.0
32,-36.99999999999996,300,0.05,0,50,0.1,0.05,0.375,301,0.023255813953488372,13.681818181818182,0.0
33,57.000000000000824,300,0.05,0,50,0.1,0.05,0.36363636363636365,301,0.0,7.341463414634147,0.0
34,387.64999999999884,287,0.05,1,50,0.1,0.05,0.38235294117647056,288,0.09375,6.6976744186046515,0.0
35,69.0000000000006,300,0.05,0,50,0.1,0.05,0.37142857142857144,301,0.019933554817275746,7.0,3800.434814453125
36,590.25,75,0.05,1,50,0.1,0.05,0.3888888888888889,76,0.09210526315789473,1.853658536585366,0.0
37,510.45,191,0.05,1,50,0.1,0.05,0.40540540540540543,192,0.0,38.4,0.0
38,523.6,8,0.05,1,50,0.1,0.05,0.42105263157894735,9,0.1111111111111111,1.5,0.0
39,103.00000000000075,300,0.05,0,50,0.1,0.05,0.41025641025641024,301,0.016611295681063124,6.543478260869565,0.0
40,653.1499999999997,217,0.05,1,50,0.1,0.05,0.425,218,0.0,5.317073170731708,26.95061683654785
41,671.6999999999989,246,0.05,1,50,0.1,0.05,0.43902439024390244,247,0.0,5.369565217391305,0.0
42,590.6500000000005,227,0.05,1,50,0.1,0.05,0.4523809523809524,228,0.03070175438596491,5.3023255813953485,0.0
43,654.4500000000002,191,0.05,1,50,0.1,0.05,0.46511627906976744,192,0.0,4.682926829268292,0.0
44,15.0,300,0.05,0,50,0.1,0.05,0.45454545454545453,301,0.0033222591362126247,17.705882352941178,0.0
45,-48.99999999999962,300,0.05,0,50,0.1,0.05,0.4444444444444444,301,0.0033222591362126247,60.2,3731.885009765625
46,13.399999999999864,213,0.05,0,50,0.1,0.05,0.43478260869565216,213,0.009389671361502348,4.630434782608695,0.0
47,652.6499999999996,227,0.05,1,50,0.1,0.05,0.44680851063829785,228,0.0,5.560975609756097,0.0
48,-38.99999999999939,300,0.05,0,50,0.1,0.05,0.4375,301,0.026578073089700997,13.681818181818182,0.0
49,-15.000000000000096,300,0.05,0,50,0.1,0.05,0.42857142857142855,301,0.0,60.2,0.0
50,-200,300,0.05,0,50,0.1,0.05,0.42,301,0.15614617940199335,12.04,18.620197296142578
51,111.0000000000005,300,0.05,0,50,0.1,0.05,0.4117647058823529,301,0.029900332225913623,4.492537313432836,0.0
52,85.00000000000082,300,0.05,0,50,0.1,0.05,0.40384615384615385,301,0.006644518272425249,4.492537313432836,0.0
53,573.5000000000002,90,0.05,1,50,0.1,0.05,0.41509433962264153,91,0.01098901098901099,4.136363636363637,0.0
54,-61.799999999999926,37,0.05,0,50,0.1,0.05,0.4074074074074074,37,0.0,1.6818181818181819,0.0
55,515.5,130,0.05,1,50,0.1,0.05,0.41818181818181815,131,0.007633587786259542,16.375,3355.012451171875
56,-42.99999999999923,300,0.05,0,50,0.1,0.05,0.4107142857142857,301,0.046511627906976744,6.688888888888889,0.0
57,526.4999999999999,110,0.05,1,50,0.1,0.05,0.42105263157894735,111,0.0,13.875,0.0
58,575.8000000000006,244,0.05,1,50,0.1,0.05,0.43103448275862066,245,0.0,11.136363636363637,0.0
59,683.1499999999994,97,0.05,1,50,0.1,0.05,0.4406779661016949,98,0.0,2.0851063829787235,0.0
