episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio,loss
1,-77.85000000000001,58,1.0,0,50,0.1,0.05,0.0,58,0.0,1.2340425531914894,0.0
2,-115.15,4,1.0,0,50,0.1,0.05,0.0,4,0.0,0.3076923076923077,0.0
3,-145.95,20,0.9626763096456342,0,50,0.1,0.05,0.0,20,0.05,1.5384615384615385,0.0
4,-126.45,30,0.9065599378797955,0,50,0.1,0.05,0.0,30,0.0,0.6382978723404256,0.0
5,-184.29999999999995,87,0.7616467882718272,0,50,0.1,0.05,0.0,87,0.06896551724137931,4.35,0.0
6,-125.95,20,0.7317528807481981,0,50,0.1,0.05,0.0,20,0.0,1.5384615384615385,0.0
7,-111.1,23,0.6988225175658086,0,50,0.1,0.05,0.0,23,0.043478260869565216,0.48936170212765956,0.0
8,-171.0,21,0.670051613737823,0,50,0.1,0.05,0.0,21,0.0,2.1,0.0
9,-88.94999999999992,80,0.5708888494176704,0,50,0.1,0.05,0.0,80,0.0375,4.0,0.0
10,-147.84999999999997,58,0.5083033303120866,0,50,0.1,0.05,0.0,58,0.034482758620689655,3.0526315789473686,0.0
11,-95.05,2,0.5062721502041595,0,50,0.1,0.05,0.0,2,0.0,0.2,0.0
12,-185.000000000002,300,0.27768116575802215,0,50,0.1,0.05,0.0,301,0.036544850498338874,23.153846153846153,0.0
13,-44.999999999999446,300,0.15230312349916944,0,50,0.1,0.05,0.0,301,0.009966777408637873,15.842105263157896,0.0
14,-200,252,0.09196132383302878,0,50,0.1,0.05,0.0,252,0.003968253968253968,25.2,0.0
15,582.8500000000003,243,0.056536217278312866,1,50,0.1,0.05,0.06666666666666667,244,0.0,12.842105263157896,25.785045623779297
16,718.3999999999982,232,0.05,1,50,0.1,0.05,0.125,233,0.0,5.065217391304348,0.0
17,35.000000000000405,300,0.05,0,50,0.1,0.05,0.11764705882352941,301,0.0033222591362126247,15.05,0.0
18,699.5999999999981,208,0.05,1,50,0.1,0.05,0.16666666666666666,209,0.004784688995215311,4.543478260869565,0.0
19,-85.40000000000003,109,0.05,0,50,0.1,0.05,0.15789473684210525,109,0.0,10.9,0.0
20,-87.94999999999999,60,0.05,0,50,0.1,0.05,0.15,60,0.0,6.0,17.683258056640625
21,45.00000000000054,300,0.05,0,50,0.1,0.05,0.14285714285714285,301,0.0033222591362126247,15.842105263157896,0.0
22,-142.39999999999975,249,0.05,0,50,0.1,0.05,0.13636363636363635,249,0.020080321285140562,13.105263157894736,0.0
23,25.000000000000362,300,0.05,0,50,0.1,0.05,0.13043478260869565,301,0.006644518272425249,15.842105263157896,0.0
24,194.9999999999987,300,0.05,0,50,0.1,0.05,0.125,301,0.0,6.404255319148936,0.0
25,780.9499999999994,81,0.05,1,50,0.1,0.05,0.16,82,0.0,1.4385964912280702,7.853190898895264
26,732.3999999999993,152,0.05,1,50,0.1,0.05,0.19230769230769232,153,0.006535947712418301,2.9423076923076925,0.0
27,194.99999999999707,300,0.05,0,50,0.1,0.05,0.18518518518518517,301,0.0,6.404255319148936,0.0
28,65.00000000000082,300,0.05,0,50,0.1,0.05,0.17857142857142858,301,0.0,15.842105263157896,0.0
29,755.7999999999994,84,0.05,1,50,0.1,0.05,0.20689655172413793,85,0.0,1.6346153846153846,0.0
30,534.7500000000006,205,0.05,1,50,0.1,0.05,0.23333333333333334,206,0.0048543689320388345,15.846153846153847,7923.0947265625
31,25.000000000000476,300,0.05,0,50,0.1,0.05,0.22580645161290322,301,0.0,23.153846153846153,0.0
32,597.4000000000001,52,0.05,1,50,0.1,0.05,0.25,53,0.018867924528301886,2.65,0.0
33,532.0500000000001,59,0.05,1,50,0.1,0.05,0.2727272727272727,60,0.05,3.1578947368421053,0.0
34,538.3500000000004,133,0.05,1,50,0.1,0.05,0.29411764705882354,134,0.007462686567164179,10.307692307692308,0.0
35,586.6500000000004,167,0.05,1,50,0.1,0.05,0.3142857142857143,168,0.0,8.842105263157896,3921.379638671875
36,34.999999999998714,300,0.05,0,50,0.1,0.05,0.3055555555555556,301,0.026578073089700997,6.404255319148936,0.0
37,-25.000000000000156,300,0.05,0,50,0.1,0.05,0.2972972972972973,301,0.006644518272425249,30.1,0.0
38,561.9500000000003,261,0.05,1,50,0.1,0.05,0.3157894736842105,262,0.003816793893129771,13.789473684210526,0.0
39,701.3499999999984,273,0.05,1,50,0.1,0.05,0.3333333333333333,274,0.0036496350364963502,5.829787234042553,0.0
40,758.1499999999988,137,0.05,1,50,0.1,0.05,0.35,138,0.007246376811594203,2.4210526315789473,597.0779418945312
41,60.39999999999853,193,0.05,0,50,0.1,0.05,0.34146341463414637,193,0.015544041450777202,3.7115384615384617,0.0
42,-200,300,0.05,0,50,0.1,0.05,0.3333333333333333,301,0.16279069767441862,6.543478260869565,0.0
43,-104.99999999999974,300,0.05,0,50,0.1,0.05,0.32558139534883723,301,0.026578073089700997,15.842105263157896,0.0
44,144.99999999999744,300,0.05,0,50,0.1,0.05,0.3181818181818182,301,0.006644518272425249,6.543478260869565,0.0
45,-200,292,0.05,1,50,0.1,0.05,0.3333333333333333,293,0.23208191126279865,7.325,22.198617935180664
46,-200,300,0.05,0,50,0.1,0.05,0.32608695652173914,301,0.07308970099667775,6.688888888888889,0.0
47,124.99999999999928,300,0.05,0,50,0.1,0.05,0.3191489361702128,301,0.006644518272425249,5.788461538461538,0.0
48,25.00000000000064,300,0.05,0,50,0.1,0.05,0.3125,301,0.013289036544850499,8.6,0.0
49,4.999999999999843,300,0.05,0,50,0.1,0.05,0.30612244897959184,301,0.0033222591362126247,23.153846153846153,0.0
50,578.8,24,0.05,1,50,0.1,0.05,0.32,25,0.08,1.25,353.997802734375
51,676.8499999999992,163,0.05,1,50,0.1,0.05,0.3333333333333333,164,0.012195121951219513,3.6444444444444444,0.0
52,25.000000000000522,300,0.05,0,50,0.1,0.05,0.3269230769230769,301,0.016611295681063124,6.543478260869565,0.0
53,598.5,30,0.05,1,50,0.1,0.05,0.33962264150943394,31,0.03225806451612903,1.55,0.0
54,-88.55000000000001,72,0.05,0,50,0.1,0.05,0.3333333333333333,72,0.0,7.2,0.0
55,-200,300,0.05,0,50,0.1,0.05,0.32727272727272727,301,0.0664451827242525,11.576923076923077,257.7762451171875
56,105.00000000000065,300,0.05,0,50,0.1,0.05,0.32142857142857145,301,0.0033222591362126247,8.6,0.0
57,154.99999999999955,300,0.05,0,50,0.1,0.05,0.3157894736842105,301,0.0,6.404255319148936,0.0
58,214.999999999997,300,0.05,0,50,0.1,0.05,0.3103448275862069,301,0.0,5.280701754385965,0.0
59,33.89999999999992,123,0.05,0,50,0.1,0.05,0.3050847457627119,123,0.0,2.7333333333333334,0.0
60,5.000000000000649,300,0.05,0,50,0.1,0.05,0.3,301,0.013289036544850499,6.543478260869565,3247.807861328125
61,-119.15000000000003,84,0.05,0,50,0.1,0.05,0.29508196721311475,84,0.0,4.9411764705882355,0.0
62,45.00000000000052,300,0.05,0,50,0.1,0.05,0.2903225806451613,301,0.0,9.40625,0.0
63,24.999999999999936,300,0.05,0,50,0.1,0.05,0.2857142857142857,301,0.0,8.6,0.0
64,-14.999999999999996,300,0.05,0,50,0.1,0.05,0.28125,301,0.0,8.6,0.0
65,-200,128,0.05,0,50,0.1,0.05,0.27692307692307694,128,0.0703125,2.4615384615384617,1203.144287109375
66,115.00000000000065,300,0.05,0,50,0.1,0.05,0.2727272727272727,301,0.0033222591362126247,5.280701754385965,0.0
67,-200,300,0.05,0,50,0.1,0.05,0.26865671641791045,301,0.053156146179401995,15.05,0.0
68,-200,278,0.05,0,50,0.1,0.05,0.2647058823529412,278,0.039568345323741004,7.722222222222222,0.0
69,174.99999999999957,300,0.05,0,50,0.1,0.05,0.2608695652173913,301,0.0,5.280701754385965,0.0
70,44.99999999999999,300,0.05,0,50,0.1,0.05,0.2571428571428571,301,0.0,9.40625,2882.376220703125
71,-128.85,78,0.05,0,50,0.1,0.05,0.2535211267605634,78,0.0,1.6956521739130435,0.0
72,-4.999999999999833,300,0.05,0,50,0.1,0.05,0.25,301,0.009966777408637873,11.576923076923077,0.0
