episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio,loss
73,523.85,23,0.05,1,50,0.1,0.05,0.5205479452054794,24,0.0,4.8,0.0
74,715.6499999999997,187,0.05,1,50,0.1,0.05,0.527027027027027,188,0.0,4.177777777777778,0.0
75,-95.05,2,0.05,0,50,0.1,0.05,0.52,2,0.0,0.08,3565.503173828125
76,608.4000000000005,232,0.05,1,50,0.1,0.05,0.5263157894736842,233,0.004291845493562232,8.321428571428571,0.0
77,779.699999999998,206,0.05,1,50,0.1,0.05,0.5324675324675324,207,0.004830917874396135,3.338709677419355,0.0
78,701.2499999999998,75,0.05,1,50,0.1,0.05,0.5384615384615384,76,0.013157894736842105,1.6888888888888889,0.0
79,700.2499999999993,95,0.05,1,50,0.1,0.05,0.5443037974683544,96,0.010416666666666666,2.1333333333333333,0.0
80,-95.05,2,0.05,0,50,0.1,0.05,0.5375,2,0.0,0.08,3519.384521484375
81,33.35000000000005,34,0.05,0,50,0.1,0.05,0.5308641975308642,34,0.029411764705882353,0.5483870967741935,0.0
82,689.9499999999992,101,0.05,1,50,0.1,0.05,0.5365853658536586,102,0.0,2.6153846153846154,0.0
83,-95.05,2,0.05,0,50,0.1,0.05,0.5301204819277109,2,0.0,0.08,0.0
84,204.99999999999693,300,0.05,0,50,0.1,0.05,0.5238095238095238,301,0.0,6.142857142857143,0.0
85,524.4499999999999,11,0.05,1,50,0.1,0.05,0.5294117647058824,12,0.0,2.4,27.68611717224121
86,573.0500000000001,39,0.05,1,50,0.1,0.05,0.5348837209302325,40,0.05,2.1052631578947367,0.0
87,671.0499999999996,79,0.05,1,50,0.1,0.05,0.5402298850574713,80,0.0125,2.051282051282051,0.0
88,738.0499999999988,139,0.05,1,50,0.1,0.05,0.5454545454545454,140,0.0,2.857142857142857,0.0
89,194.99999999999693,300,0.05,0,50,0.1,0.05,0.5393258426966292,301,0.0,6.142857142857143,0.0
90,784.9999999999994,100,0.05,1,50,0.1,0.05,0.5444444444444444,101,0.009900990099009901,1.6290322580645162,44.975196838378906
91,384.99999999999693,300,0.05,0,50,0.1,0.05,0.5384615384615384,301,0.0,3.5,0.0
92,676.7999999999997,64,0.05,1,50,0.1,0.05,0.5434782608695652,65,0.015384615384615385,1.625,0.0
93,731.3499999999995,73,0.05,1,50,0.1,0.05,0.5483870967741935,74,0.0,1.574468085106383,0.0
94,621.7500000000001,65,0.05,1,50,0.1,0.05,0.5531914893617021,66,0.015151515151515152,2.2758620689655173,0.0
95,720.2499999999993,95,0.05,1,50,0.1,0.05,0.5578947368421052,96,0.010416666666666666,1.9591836734693877,57.26057815551758
96,689.9499999999991,101,0.05,1,50,0.1,0.05,0.5625,102,0.0,2.6153846153846154,0.0
97,-15.84999999999998,18,0.05,0,50,0.1,0.05,0.5567010309278351,18,0.0,0.3673469387755102,0.0
98,690.5499999999993,89,0.05,1,50,0.1,0.05,0.5612244897959183,90,0.0,2.3076923076923075,0.0
99,752.6499999999976,247,0.05,1,50,0.1,0.05,0.5656565656565656,248,0.012096774193548387,4.065573770491803,0.0
100,523.45,31,0.05,1,50,0.1,0.05,0.57,32,0.0,6.4,3490.41552734375
101,645.6000000000001,88,0.05,1,50,0.1,0.05,0.5742574257425742,89,0.0,2.966666666666667,0.0
102,600.3500000000001,93,0.05,1,50,0.1,0.05,0.5784313725490197,94,0.02127659574468085,3.2413793103448274,0.0
103,687.7999999999998,44,0.05,1,50,0.1,0.05,0.5825242718446602,45,0.0,1.1842105263157894,0.0
104,692.1499999999997,57,0.05,1,50,0.1,0.05,0.5865384615384616,58,0.0,1.4871794871794872,0.0
105,-64.6999999999999,95,0.05,0,50,0.1,0.05,0.580952380952381,95,0.042105263157894736,1.9387755102040816,82.809326171875
106,739.8499999999992,103,0.05,1,50,0.1,0.05,0.5849056603773585,104,0.0,2.122448979591837,0.0
107,35.000000000000306,300,0.05,0,50,0.1,0.05,0.5794392523364486,301,0.0,23.153846153846153,0.0
108,642.9000000000003,142,0.05,1,50,0.1,0.05,0.5833333333333334,143,0.0,4.766666666666667,0.0
109,95.00000000000033,300,0.05,0,50,0.1,0.05,0.5779816513761468,301,0.0,10.379310344827585,0.0
110,254.99999999999693,300,0.05,0,50,0.1,0.05,0.5727272727272728,301,0.0033222591362126247,4.934426229508197,41.801109313964844
111,550.4500000000002,91,0.05,1,50,0.1,0.05,0.5765765765765766,92,0.03260869565217391,4.842105263157895,0.0
112,617.4500000000004,151,0.05,1,50,0.1,0.05,0.5803571428571429,152,0.006578947368421052,5.241379310344827,0.0
113,264.999999999997,300,0.05,0,50,0.1,0.05,0.5752212389380531,301,0.0,4.854838709677419,0.0
114,742.9999999999989,140,0.05,1,50,0.1,0.05,0.5789473684210527,141,0.02127659574468085,2.274193548387097,0.0
115,95.00000000000081,300,0.05,0,50,0.1,0.05,0.5739130434782609,301,0.0033222591362126247,10.033333333333333,46.4163818359375
116,704.6999999999998,106,0.05,1,50,0.1,0.05,0.5775862068965517,107,0.018691588785046728,2.14,0.0
117,19.55000000000024,110,0.05,0,50,0.1,0.05,0.5726495726495726,110,0.02727272727272727,2.75,0.0
118,607.0000000000001,60,0.05,1,50,0.1,0.05,0.576271186440678,61,0.01639344262295082,2.3461538461538463,0.0
119,-200,222,0.05,1,50,0.1,0.05,0.5798319327731093,223,0.19282511210762332,27.875,0.0
120,184.99999999999753,300,0.05,0,50,0.1,0.05,0.575,301,0.0033222591362126247,6.142857142857143,51.37782669067383
121,-200,300,0.05,0,50,0.1,0.05,0.5702479338842975,301,0.10963455149501661,4.934426229508197,0.0
122,181.84999999999962,64,0.05,0,50,0.1,0.05,0.5655737704918032,64,0.0,0.7441860465116279,0.0
123,234.99999999999693,300,0.05,0,50,0.1,0.05,0.5609756097560976,301,0.0,4.854838709677419,0.0
124,-65.54999999999944,212,0.05,0,50,0.1,0.05,0.5564516129032258,212,0.0047169811320754715,4.930232558139535,0.0
125,25.000000000000462,300,0.05,0,50,0.1,0.05,0.552,301,0.0,23.153846153846153,39.5250358581543
126,646.3999999999996,272,0.05,1,50,0.1,0.05,0.5555555555555556,273,0.007326007326007326,6.825,0.0
127,95.00000000000082,300,0.05,0,50,0.1,0.05,0.5511811023622047,301,0.0033222591362126247,10.379310344827585,0.0
128,-100.2,5,0.05,0,50,0.1,0.05,0.546875,5,0.0,0.2,0.0
129,742.3499999999998,53,0.05,1,50,0.1,0.05,0.5503875968992248,54,0.0,1.1020408163265305,0.0
130,742.5499999999997,49,0.05,1,50,0.1,0.05,0.5538461538461539,50,0.0,1.0204081632653061,1630.760009765625
131,-106.35,28,0.05,0,50,0.1,0.05,0.549618320610687,28,0.0,1.12,0.0
132,645.6999999999997,86,0.05,1,50,0.1,0.05,0.553030303030303,87,0.0,2.9,0.0
133,721.8499999999998,63,0.05,1,50,0.1,0.05,0.556390977443609,64,0.0,1.4222222222222223,0.0
134,669.4499999999991,111,0.05,1,50,0.1,0.05,0.5597014925373134,112,0.008928571428571428,2.871794871794872,0.0
135,739.5499999999993,109,0.05,1,50,0.1,0.05,0.562962962962963,110,0.03636363636363636,1.8032786885245902,75.85736846923828
136,204.49999999999926,111,0.05,0,50,0.1,0.05,0.5588235294117647,111,0.018018018018018018,1.2906976744186047,0.0
137,284.999999999997,300,0.05,0,50,0.1,0.05,0.5547445255474452,301,0.0,4.854838709677419,0.0
138,34.29999999999956,115,0.05,0,50,0.1,0.05,0.5507246376811594,115,0.0,3.026315789473684,0.0
139,630.3000000000005,194,0.05,1,50,0.1,0.05,0.5539568345323741,195,0.0,6.964285714285714,0.0
