x,y
42,21
42,22
42,23
41,23
40,23
40,24
40,25
40,26
39,26
38,26
37,26
36,26
37,26
36,26
37,26
36,26
36,27
36,28
36,29
36,30
35,30
35,31
35,32
35,33
35,34
35,35
35,36
35,37
35,38
35,39
35,40
36,40
36,41
36,42
36,43
36,44
35,44
35,45
34,45
34,46
33,46
32,46
31,46
30,46
31,46
31,45
32,45
33,45
33,44
33,43
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,46
33,45
33,46
32,46
31,46
32,46
31,46
30,46
31,46
30,46
31,46
31,45
32,45
32,44
32,45
32,44
32,43
32,44
32,43
32,44
32,45
32,44
32,45
32,44
32,45
33,45
33,44
32,44
31,44
32,44
32,45
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
34,45
34,46
33,46
34,46
33,46
34,46
33,46
34,46
33,46
34,46
33,46
33,45
33,44
33,45
33,44
33,45
33,44
33,45
33,44
33,45
32,45
33,45
34,45
34,46
33,46
32,46
31,46
32,46
31,46
32,46
32,45
33,45
34,45
34,46
33,46
34,46
33,46
33,45
34,45
34,46
33,46
32,46
31,46
32,46
31,46
32,46
31,46
32,46
31,46
32,46
31,46
31,47
31,46
32,46
31,46
32,46
31,46
32,46
32,45
33,45
33,46
33,45
33,46
33,47
