A1-mean,A1-std,A2-mean,A2-std,B1-mean,B1-std,B2-mean,B2-std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,773.871240234375,1547.74248046875,756.951416015625,1513.90283203125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1583.1097190856933,1934.094116202604,1.4580414772033692,2.9160829544067384,2278.2760063171386,1857.9177619801735,10.051255416870116,8.39333270550939
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
737.630202293396,1450.2159655717696,908.9376953125,1817.875390625,2342.045379638672,1902.5917040864404,817.359839630127,1550.9410728584007
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3644.6796237945555,3258.859213919016,793.1193916320801,1577.685827254153,4568.583825302124,2892.058565900725,2428.0435905456543,3340.018389847495
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.902302551269532,9.54994031997117,2479.3820333480835,3426.726071893765,2243.238659667969,1804.3624944044723,37.198202419281,30.644855587188577
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1535.556685066223,3021.525981051298,3596.0649452209473,3171.759719741711,4555.48479385376,2792.00730091659,1637.7464981079102,3142.8697317033734
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3032.2701347351076,1506.2627046455816,2764.514454650879,2548.174086212917,6069.7060546875,2947.555062841391,1677.973885345459,1982.2857599351905
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232.5221950531004,1798.553609067669,1459.7413967132568,1692.0614715510235,1569.4803119659423,1889.3619891002522,1768.369107055664,1813.4220119607194
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
