A1-mean,A1-std,A2-mean,A2-std,B1-mean,B1-std,B2-mean,B2-std
45.6,38.42186877287465,45.6,38.42186877287465,45.0,37.35773012376421,45.6,38.42186877287465
69.6,75.37798086974736,65.2,69.95255535003707,61.4,77.80899690909786,67.6,72.83021351060286
51.4,49.26499771643149,40.0,26.600751869073175,43.8,33.39101675600789,23.8,22.00363606316011
49.4,25.024787711387283,33.0,28.270125574535392,49.8,38.64919145337972,37.2,26.003076741032014
124.0,113.6802533424341,32.2,32.92658500361068,113.0,115.97758404105511,69.0,65.83312236253116
51.4,41.85498775534404,150.4,107.969625358246,112.4,53.78326877384825,118.4,91.16709932865035
180.8,108.90987099432263,92.8,107.25931195005869,173.8,101.04335703053418,111.6,102.9127786040198
122.6,97.08470528358212,114.0,99.25119646633989,99.0,66.19969788450699,79.8,60.44964846878764
77.8,56.25442204840434,31.4,38.810307909110946,154.2,112.23796149253602,162.4,116.9745271415961
93.4,106.54876817683065,29.4,23.84617369726221,85.8,60.35362458046741,163.4,90.65671514013731
168.2,121.14850391152176,56.0,29.34620929523948,140.6,97.6127040912196,72.2,114.99634776809218
145.2,98.22708384147418,71.0,49.59435451742466,151.4,99.01232246543861,214.4,106.27059800339885
130.2,100.52541967084744,79.0,37.421918710830425,194.6,120.07431032489839,219.2,104.1199308489974
191.6,109.35190899110998,96.8,106.6215738019281,96.0,57.73040793204219,189.2,72.62341220295285
232.8,112.2219229919003,84.4,64.91717800397673,198.4,127.99624994506675,188.2,118.54686836859082
155.4,84.29139932401169,23.8,6.013318551349163,139.8,88.50627096426557,226.6,68.0781903402257
231.0,86.95746086449397,137.8,89.04695390635212,188.6,100.46014134969153,221.2,115.22569157961257
229.6,95.45176792495778,160.6,99.1132685365587,147.4,126.57582707610486,186.2,108.97596065187955
257.4,87.19999999999999,173.6,79.85887552426468,203.4,121.45385955168324,128.4,111.14243114130625
244.8,105.06074433393283,125.8,94.95978096015175,199.6,124.19275341178326,201.4,122.08947538588247
153.4,123.62782858240291,192.8,116.28654264359226,229.2,81.77138863930342,301.0,0.0
154.2,121.18316714791705,221.4,81.31322155713669,163.8,95.55605684623032,247.0,84.43695873253607
224.2,94.062532392021,216.4,67.0450594749531,180.6,101.77936922579153,278.4,45.2
131.6,95.15166840365964,292.8,16.4,216.8,106.56903865569963,219.8,100.80753940058253
210.4,110.96594072056524,155.8,123.32461230427607,110.0,97.95509175127141,218.2,101.69247759790298
209.0,100.81269761294953,115.4,100.89321087169344,164.8,115.49095202655488,127.2,56.50982215509087
176.8,122.6350683939957,241.6,118.8,131.4,101.66139877062484,301.0,0.0
145.2,94.17303223322482,191.0,91.15042512243154,228.0,56.04997769847906,301.0,0.0
127.6,127.91497175858657,143.2,100.59105328010043,176.0,110.35578824873664,202.6,121.99934426053281
240.8,79.8558701661938,219.6,103.7643484054133,198.0,110.31591000395183,232.0,97.6933979345585
178.2,109.45939886551542,170.8,116.1678096548265,196.4,112.8886176724651,247.4,45.067061142257764
271.2,59.6,189.4,136.85846703803165,117.0,115.8136434104376,207.2,109.35520106515283
208.0,106.78389391663895,221.2,104.0622890388252,170.2,111.32187565793167,210.0,104.93998284733993
99.4,72.67902035663387,227.0,96.19979209956745,120.4,96.09703429346818,247.4,68.88425073991877
171.4,93.18068469377118,202.2,93.83901107748311,127.2,105.80812823219208,211.2,80.62108905243095
156.8,104.35976236078731,174.8,86.36990216504822,186.0,109.41846279307711,184.4,124.68456199546118
146.6,84.08709770232292,266.0,67.04028639556964,216.8,74.87963675125567,221.6,99.13949767877584
107.0,92.77284085334458,161.2,119.9939998499925,124.8,63.83854634936481,243.2,97.27980263137873
199.2,124.7467835256685,96.6,90.27203332151105,200.6,94.20318465954324,195.8,84.95033843369902
