x,y
1,31
2,31
3,31
4,31
5,31
6,31
7,31
8,31
9,31
10,31
11,31
10,31
11,31
12,31
11,31
10,31
11,31
11,32
11,31
10,31
11,31
10,31
11,31
10,31
11,31
10,31
11,31
10,31
11,31
10,31
11,31
10,31
11,31
11,30
10,30
9,30
9,29
10,29
9,29
9,30
9,31
10,31
11,31
10,31
9,31
10,31
11,31
10,31
11,31
10,31
11,31
10,31
11,31
11,30
11,31
10,31
11,31
10,31
11,31
11,30
10,30
10,31
11,31
10,31
11,31
10,31
11,31
10,31
11,31
10,31
11,31
10,31
11,31
10,31
11,31
10,31
11,31
11,30
10,30
9,30
9,29
10,29
9,29
9,28
9,29
10,29
9,29
10,29
9,29
10,29
11,29
12,29
12,28
12,27
13,27
13,28
13,29
13,30
12,30
12,31
11,31
11,30
11,31
11,30
11,31
11,30
11,31
11,30
11,31
11,30
11,31
11,30
11,31
11,30
11,31
10,31
11,31
10,31
10,32
10,33
11,33
11,34
11,35
12,35
13,35
14,35
14,34
15,34
16,34
17,34
18,34
19,34
20,34
21,34
22,34
23,34
24,34
24,33
25,33
26,33
26,32
26,31
26,30
26,29
27,29
27,28
28,28
29,28
30,28
31,28
32,28
33,28
34,28
35,28
36,28
37,28
38,28
39,28
39,27
39,26
40,26
41,26
42,26
43,26
44,26
44,25
45,25
46,25
